timestamp,backend_processing_time,timestamp
2019-01-01 00:00:00,15655.0,2019-01-01 00:00:00
2019-01-01 00:15:00,15072.833333333334,2019-01-01 00:15:00
2019-01-01 00:30:00,15488.666666666666,2019-01-01 00:30:00
2019-01-01 00:45:00,15124.5,2019-01-01 00:45:00
2019-01-01 01:00:00,15602.666666666666,2019-01-01 01:00:00
2019-01-01 01:15:00,15244.333333333334,2019-01-01 01:15:00
2019-01-01 01:30:00,15498.166666666666,2019-01-01 01:30:00
2019-01-01 01:45:00,15435.833333333334,2019-01-01 01:45:00
2019-01-01 02:00:00,15609.333333333334,2019-01-01 02:00:00
2019-01-01 02:15:00,15051.166666666666,2019-01-01 02:15:00
2019-01-01 02:30:00,15135.0,2019-01-01 02:30:00
2019-01-01 02:45:00,15186.333333333334,2019-01-01 02:45:00
2019-01-01 03:00:00,15324.833333333334,2019-01-01 03:00:00
2019-01-01 03:15:00,15538.166666666666,2019-01-01 03:15:00
2019-01-01 03:30:00,15634.166666666666,2019-01-01 03:30:00
2019-01-01 03:45:00,15462.833333333334,2019-01-01 03:45:00
2019-01-01 04:00:00,15670.0,2019-01-01 04:00:00
2019-01-01 04:15:00,15299.166666666666,2019-01-01 04:15:00
2019-01-01 04:30:00,15150.333333333334,2019-01-01 04:30:00
2019-01-01 04:45:00,15100.666666666666,2019-01-01 04:45:00
2019-01-01 05:00:00,15286.166666666666,2019-01-01 05:00:00
2019-01-01 05:15:00,15322.333333333334,2019-01-01 05:15:00
2019-01-01 05:30:00,15580.833333333334,2019-01-01 05:30:00
2019-01-01 05:45:00,14895.666666666666,2019-01-01 05:45:00
2019-01-01 06:00:00,15140.0,2019-01-01 06:00:00
2019-01-01 06:15:00,15203.0,2019-01-01 06:15:00
2019-01-01 06:30:00,15484.666666666666,2019-01-01 06:30:00
2019-01-01 06:45:00,15329.5,2019-01-01 06:45:00
2019-01-01 07:00:00,15566.5,2019-01-01 07:00:00
2019-01-01 07:15:00,14703.5,2019-01-01 07:15:00
2019-01-01 07:30:00,14883.833333333334,2019-01-01 07:30:00
2019-01-01 07:45:00,14725.833333333334,2019-01-01 07:45:00
2019-01-01 08:00:00,15326.166666666666,2019-01-01 08:00:00
2019-01-01 08:15:00,14707.833333333334,2019-01-01 08:15:00
2019-01-01 08:30:00,15585.0,2019-01-01 08:30:00
2019-01-01 08:45:00,15658.0,2019-01-01 08:45:00
2019-01-01 09:00:00,15198.666666666666,2019-01-01 09:00:00
2019-01-01 09:15:00,15064.833333333334,2019-01-01 09:15:00
2019-01-01 09:30:00,15705.333333333334,2019-01-01 09:30:00
2019-01-01 09:45:00,14977.5,2019-01-01 09:45:00
2019-01-01 10:00:00,15172.666666666666,2019-01-01 10:00:00
2019-01-01 10:15:00,15688.5,2019-01-01 10:15:00
2019-01-01 10:30:00,15697.166666666666,2019-01-01 10:30:00
2019-01-01 10:45:00,15567.666666666666,2019-01-01 10:45:00
2019-01-01 11:00:00,15309.666666666666,2019-01-01 11:00:00
2019-01-01 11:15:00,15025.833333333334,2019-01-01 11:15:00
